W020A Condomínio Parque das Hortênsias (149);;;;;
Demonstrativo de Receitas e Despesas Analítico;;;;;
"Entre 01/09/2024 e 30/09/2024; Com fornecedor/descrição; Com documento; Com competência; Com liquidação; Com conta bancária; Com parcela da despesa; Com porcentagem";;;;;
Cartão de Acesso;;;;;
1 cobrança;08/2024;1%;8,50;;
1 cobrança  8A55FE;08/2024;1%;8,50;;
4 cobranças;09/2024;3%;34,00;;
Total de Cartão de Acesso;;4%;51,00;;
Outras Receitas;;;;;
Outras Receitas - A Identificar;09/2024;204%;2.562,95;;
Descontos Concedidos;;;;;
1 cobrança;09/2024;-6%;(76,50);;
Custas Judiciais;;;;;
1 cobrança  Custas processuais;Acordo;2%;22,97;;
5 cobranças  CUSTAS PROCESSUAIS;Acordo;24%;301,76;;
1 cobrança  custas;Acordo;2%;26,50;;
Total de Custas Judiciais;;28%;351,23;;
Rendimento Aplicação F.O.;;;;;
Rendimento Aplicação F.O.  20240913006 - Rend. Pago Aplic Aut Mais;09/2024;0%;0,76;;
Rendimento Aplicação F.O.  20240916012 - Rend. Pago Aplic Aut Mais;09/2024;0%;0,11;;
Rendimento Aplicação F.O.  20240920006 - Rend. Pago Aplic Aut Mais;09/2024;0%;0,17;;
Rendimento Aplicação F.O.  20240924003 - Rend. Pago Aplic Aut Mais;09/2024;0%;0,15;;
Rendimento Aplicação F.O.  20240925007 - Rendimento aplicação;09/2024;0%;0,18;;
Total de Rendimento Aplicação F.O.;;0%;1,37;;
Água e Esgoto;;;;;
18 cobranças;08/2024;93%;1.162,80;;
29 cobranças;08/2024;149%;1.873,40;;
245 cobranças;09/2024;1260%;15.827,00;;
1 cobrança;09/2024;10%;129,20;;
Total de Água e Esgoto;;1512%;18.992,40;;
Honorários de Cobrança Administrativa;;;;;
1 cobrança;Acordo;13%;163,48;;
Total de Receitas Ordinárias;;8544%;107.294,20;;
Fundo de Reserva (2,71%);;;;;
Taxa de Fundo de Reserva;;;;;
18 cobranças;08/2024;17%;208,62;;
29 cobranças;08/2024;27%;336,11;;
245 cobranças;09/2024;226%;2.839,55;;
1 cobrança;09/2024;2%;23,18;;
Total de Taxa de Fundo de Reserva;;271%;3.407,46;;
Total de Fundo de Reserva;;271%;3.407,46;;
Fundo Extraordinário (11,47%);;;;;
Taxa Auditoria;;;;;
217 cobranças;09/2024;1037%;13.020,00;;
1 cobrança;09/2024;5%;60,00;;
22 cobranças;09/2024;105%;1.320,00;;
Total de Taxa Auditoria;;1147%;14.400,00;;
Total de Fundo Extraordinário;;1147%;14.400,00;;
Receitas de Espaço de Eventos - Comuns (0,38%);;;;;
Salao de Festa;;;;;
1 cobrança  (14/07/2024-Salão de Festas e Churrasqueir);08/2024;5%;60,00;;
1 cobrança  (02/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
1 cobrança  (04/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
1 cobrança  (09/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
1 cobrança  (10/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
1 cobrança  (11/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
1 cobrança  (15/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
1 cobrança  (17/08/2024-Salão de Festas e Churrasqueir);09/2024;5%;60,00;;
Total de Salao de Festa;;38%;480,00;;
Total de Receitas de Espaço de Eventos - Comuns;;38%;480,00;;
Total de Receitas;;10000%;125.581,66;;
Despesas;Liquidação;Documento;Conta Bancária;;Valor
Despesas Ordinárias (100,00%);;;;;
Mão de Obra;;;;;
;;;;;
Puiatti Gestão Condominial;;;;;
Rua Dr. Paulo Castro Pupo Nogueira, 730 - Nova Campinas - CEP: 13.092-104 - Campinas/SP;;;;;
www.puiatti.com.br  - WhatsApp Puiatti Atende (19) 99909-0561;;;;;
;;;;;
2 de 5;;;;;
;;;;;
Salário;;;;;
Joel Campos Cruz 08/24;05/09/2024;;F. Ordinário;105%;1.151,28
Adiantamento;;;;;
Joel Campos Cruz 09/24;20/09/2024;;F. Ordinário;73%;808,60
Vale Transporte ou Combustivel;;;;;
Flash Tecnologia e Pagamentos Ltda. 10/24;24/09/2024;;F. Ordinário;29%;318,60
Cesta Básica - Vale Alimentação;;;;;
Flash Tecnologia e Pagamentos Ltda. 10/24;24/09/2024;;F. Ordinário;45%;496,00
Medicina e segurança do trabalho;;;;;
Work Medicina Ocupacional Ltda;16/09/2024;NF-125957;F. Ordinário;11%;120,00
Seguro de vida funcionários;;;;;
Bensocial Gestão de Benefícios Socioeconomico;10/09/2024;;F. Ordinário;2%;26,00
LTDA 08/24;;;;;
Contrib. sindical;;;;;
Sindicato Trabalhadores Edificios Condominios;10/09/2024;;F. Ordinário;5%;50,00
Campinas e Região 08/24;;;;;
INSS  Sobre Folha;;;;;
Secretaria da Receita Federal do Brasil;20/09/2024;;F. Ordinário;106%;1.166,11
FGTS;;;;;
Secretaria da Receita Federal do Brasil 07/24;11/09/2024;;F. Ordinário;17%;190,41
Secretaria da Receita Federal do Brasil 08/24;18/09/2024;;F. Ordinário;27%;298,18
Total de FGTS;;;;44%;488,59
PIS Sobre folha;;;;;
Secretaria da Receita Federal do Brasil;20/09/2024;;F. Ordinário;3%;37,27
Outros;;;;;
Joel Campos Cruz ajuste 01.11.23 a 01.07.24;05/09/2024;;F. Ordinário;102%;1.121,53
Seguro Médico - Vidas Reais;;;;;
Vidas Reais Intermediação e Negócios;10/09/2024;;F. Ordinário;4%;45,00
Administrativos 09/24;;;;;
Total de Mão de Obra;;;;530%;5.828,98
Prestadores de Serviço;;;;;
Serviços de Limpeza;;;;;
Samekh Services Ltda;13/09/2024;NF-79;F. Ordinário;931%;10.240,92
Serviços Terceirizados;;;;;
Samekh Security Ltda;13/09/2024;NF-19;F. Ordinário;2640%;29.041,95
Total de Prestadores de Serviço;;;;3571%;39.282,87
Utilidades - Consumo - Tarifas Públicas;;;;;
Água e Esgoto;;;;;
Companhia de Saneamento Básico do Estado de;16/09/2024;Fatura-Acordo;F. Ordinário;1226%;13.483,04
SP;;;;;
Energia Eletrica;;;;;
CPFL Energia S.A. - Bloco 01;24/09/2024;;F. Ordinário;621%;6.833,91
CPFL Energia S.A.;24/09/2024;NF-31434741;F. Ordinário;56%;615,99
CPFL Energia S.A.;25/09/2024;;F. Ordinário;574%;6.317,35
CPFL Energia S.A.;25/09/2024;;F. Ordinário;91%;1.001,42
CPFL Energia S.A.;25/09/2024;;F. Ordinário;87%;959,54
Total de Energia Eletrica;;;;1430%;15.728,21
Gás;;;;;
Supergasbras Energia LDTA;16/09/2024;;F. Ordinário;1%;13,60
Total de Utilidades - Consumo - Tarifas Públicas;;;;2656%;29.224,85
Despesas Administrativas;;;;;
Serviços de Advocacia - Despesas e Reembolsos;;;;;
Bueno Negrello Sociedade Individual de Advocacia;11/09/2024;;F. Ordinário;3%;35,36
Serviços de Advocacia - Repasse de Honorários;;;;;
Bueno Negrello Sociedade Individual de Advocacia;09/09/2024;NF-2455;F. Ordinário;215%;2.366,66
Despesas Bancárias;;;;;
18 cobranças;08/2024;;F. Ordinário;6%;63,00
30 cobranças;08/2024;;F. Ordinário;10%;105,00
4 cobranças;08/2024;;F. Ordinário;1%;14,00
Despesas Bancárias  20240903002 - Tar Plano;03/09/2024;;F. Ordinário;11%;118,00
Adapt;;;;;
Despesas Bancárias - Tarifa Registro;10/09/2024;;F. Ordinário;0%;3,50
245 cobranças;09/2024;;F. Ordinário;78%;857,50
23 cobranças;09/2024;;F. Ordinário;7%;80,50
22 cobranças;09/2024;;F. Ordinário;7%;77,00
;;;;;
Puiatti Gestão Condominial;;;;;
Rua Dr. Paulo Castro Pupo Nogueira, 730 - Nova Campinas - CEP: 13.092-104 - Campinas/SP;;;;;
www.puiatti.com.br  - WhatsApp Puiatti Atende (19) 99909-0561;;;;;
;;;;;
3 de 5;;;;;
;;;;;
Total de Despesas Bancárias;;;;120%;1.318,50
Correio;;;;;
Raluma Franchising Ltda;25/09/2024;;F. Ordinário;3%;30,10
Multas e Juros por atraso;;;;;
Multas e Juros por atraso;20/09/2024;;F. Ordinário;2%;18,30
Demais Despesas Administrativas;;;;;
Puiatti Administradora de Condomínios;16/09/2024;NF-3626 / FAT;F. Ordinário;84%;919,26
;;1837;;;
Total de Despesas Administrativas;;;;426%;4.688,18
Contratos e Obrigações Periódicas;;;;;
Contrato Administração;;;;;
Puiatti Administradora de Condomínios;16/09/2024;NF-3626 / FAT;F. Ordinário;310%;3.414,39
;;1837;;;
Serviços de Sindicância;;;;;
Michelle Cristina da Silva;11/09/2024;;F. Ordinário;313%;3.440,00
Contrato de Assessoria Jurídica;;;;;
Bueno Negrello Sociedade Individual de Advocacia;09/09/2024;NF-2455;F. Ordinário;98%;1.073,12
Contrato Manutenção Elevadores;;;;;
Espel Comercio de Pecas para Elevadores;05/09/2024;NF-45945;F. Ordinário;145%;1.600,00
Espel Comercio de Pecas para Elevadores -;13/09/2024;NF-46018;F. Ordinário;126%;1.386,66
Referente a rescisão contratual;;;;;
Total de Contrato Manutenção Elevadores;;;;271%;2.986,66
Contrato Manutenção Controle de Acesso;;;;;
Lar Segurança Eletronica;05/09/2024;NF-287;F. Ordinário;70%;768,00
Contrato de Jardinagem - Periódico;;;;;
Clean Lagos e Paisagismo Eireli;10/09/2024;NF-448;F. Ordinário;294%;3.234,00
Contrato Controle de Pragas - Periódico;;;;;
Artica Saúde Ambiental Ltda;10/09/2024;NF-1784;F. Ordinário;29%;316,68
Contrato Limpeza de Piscina;;;;;
Simei Silva Macedo;05/09/2024;NF-59;F. Ordinário;45%;500,00
Serviços de Engenharia e-ou ARTs - Periódicos;;;;;
JM Engenharia Ltda;20/09/2024;NF-531;F. Ordinário;82%;900,00
Total de Contratos e Obrigações Periódicas;;;;1512%;16.632,85
Mat. de Consumo e Serv. de Manutenção;;;;;
Material Elétrico;;;;;
WBC Distribuidora de Equipamentos de Segurança;16/09/2024;NF-6505;F. Ordinário;110%;1.206,29
Parc. 4 de 4;;;;;
WBC Distribuidora de Equipamentos de Segurança;16/09/2024;NF-6643;F. Ordinário;42%;458,56
Parc. 2 de 3;;;;;
Total de Material Elétrico;;;;151%;1.664,85
Materiais e-ou Equipamentos de Segurança;;;;;
WBC Distribuidora de Equipamentos de Segurança;16/09/2024;NF-6575;F. Ordinário;62%;684,80
Parc. 2 de 3;;;;;
Insumos de Limpeza;;;;;
Scaranello Zicami Serviços e Comercio LTDA;16/09/2024;NF-1361;F. Ordinário;17%;189,47
Parc. 2 de 2;;;;;
Scaranello Zicami Serviços e Comercio LTDA;16/09/2024;NF-1407;F. Ordinário;94%;1.033,90
Total de Insumos de Limpeza;;;;111%;1.223,37
Materiais Diversos;;;;;
João da Silva Gonçalves;30/09/2024;;F. Ordinário;8%;86,90
Materiais de Limpeza de Piscina;;;;;
Scaranello Zicami Serviços e Comercio LTDA;25/09/2024;NF-1400;F. Ordinário;70%;770,65
Serv. de Reparos Civis;;;;;
Fabiola Kelly Silva Firmino 35920507888 - Troca de;20/09/2024;NF-43;F. Ordinário;16%;180,00
roldanas;;;;;
Serv. Pontual de Controle de Pragas;;;;;
JOSE ROBERTO DE PAULA - Remoção de;09/09/2024;NF-110;F. Ordinário;91%;1.000,00
abelhas;;;;;
Total de Mat. de Consumo e Serv. de Manutenção;;;;510%;5.610,57
Encargos;;;;;
INSS;;;;;
Secretaria da Receita Federal do Brasil Samekh;20/09/2024;NF-19;F. Ordinário;357%;3.927,00
Group 19;;;;;
Secretaria da Receita Federal do Brasil Samekh;20/09/2024;NF-79;F. Ordinário;122%;1.341,07
Services Ltda 79;;;;;
;;;;;
Puiatti Gestão Condominial;;;;;
Rua Dr. Paulo Castro Pupo Nogueira, 730 - Nova Campinas - CEP: 13.092-104 - Campinas/SP;;;;;
www.puiatti.com.br  - WhatsApp Puiatti Atende (19) 99909-0561;;;;;
;;;;;
4 de 5;;;;;
;;;;;
Total de INSS;;;;479%;5.268,07
PIS COFINS CSLL;;;;;
Secretaria da Receita Federal do Brasil Samekh;20/09/2024;NF-09;F. Ordinário;151%;1.660,05
Group 09;;;;;
ISSQN;;;;;
Prefeitura Municipal de Limeira 263;10/09/2024;NF-263;F. Ordinário;3%;35,02
Prefeitura Municipal de Hortolândia Clean Lagos e;13/09/2024;NF-436;F. Ordinário;6%;66,00
Paisagismo Eireli 436;;;;;
Prefeitura Municipal de Hortolândia Samekh Group;13/09/2024;NF-19;F. Ordinário;97%;1.071,00
19;;;;;
Prefeitura Municipal de Hortolândia Samekh;13/09/2024;NF-79;F. Ordinário;55%;609,58
Services Ltda 79;;;;;
Prefeitura Municipal de Hortolândia Total;13/09/2024;NF-1731;F. Ordinário;1%;6,38
Dedetizadora 1731;;;;;
Prefeitura Municipal de Limeira 278;24/09/2024;NF-278;F. Ordinário;3%;32,33
Total de ISSQN;;;;165%;1.820,31
Total de Encargos;;;;795%;8.748,43
Total de Despesas Ordinárias;;;;10000%;110.016,73
Total de Despesas;;;;10000%;110.016,73
Mov. Líquido(Receitas-Despesas);;;;;15.564,93
Saldo em 30/09/2024;;;;;
F. Ordinário;;;;;61,63
F. Ordinário (Itauvest);;;;;-3,71
F. Reserva;;;;;29.660,14
F. Reserva (Itauvest);;;;;5.105,97
F. Implantação;;;;;-12.994,06
F. Implantação (Itauvest);;;;;1.343,59
23.173,56;;;;;
;;;;;
Puiatti Gestão Condominial;;;;;
Rua Dr. Paulo Castro Pupo Nogueira, 730 - Nova Campinas - CEP: 13.092-104 - Campinas/SP;;;;;
www.puiatti.com.br  - WhatsApp Puiatti Atende (19) 99909-0561;;;;;
;;;;;
5 de 5;;;;;
